K,SSE,Silhouette,Calinski,Davies
2,1143.356579493566,0.3433780631240911,3.565321858619069,0.822060548281594
3,763.6936488169365,0.5347134152765162,4.639135844343054,0.6884805326694726
4,384.60311332503113,0.7153514814042152,8.08727644170499,0.5226653794051
5,24.633561643835616,0.810603833795211,108.4350410120951,0.16544741224720846
6,10.719178082191782,0.7519664079237911,172.4327156549521,0.1317638353367332
7,0.7123287671232879,0.628806483088831,1813.6378205128206,0.03374112421634401
8,0.38356164383561653,0.47003089737464165,2310.102040816327,0.024290700790457392
